cancelacion,genero,jubilado,en_pareja,dependientes,meses_contrato,servicio_telefonico,multiples_lineas,servicio_internet,seguridad_online,respaldo_online,proteccion_dispositivo,soporte_efectivo,streaming_TV,streaming_peliculas,tipo_contrato,facturacion_electronica,metodo_pago,cuenta_mensual,cuentas_total,cuentas_diarias
0,Masculino,No,Si,Si,37,Si,No,Fibra_optica,No,No,No,No,Si,Si,un year,No,tarjeta de credito,91.2,3247.55,0.08216216216216217
0,Femenino,No,Si,No,49,Si,No,No,No,No,No,No,No,No,un year,No,transferencia,20.45,900.9,0.01391156462585034
0,Masculino,No,Si,No,66,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,un year,No,transferencia,115.8,7942.15,0.05848484848484849
0,Femenino,No,No,No,67,Si,No,No,No,No,No,No,No,No,un year,No,cheque electronico,20.55,1343.4,0.010223880597014927
0,Masculino,No,Si,Si,20,No,sin servicio teleonico,DSL,Si,No,Si,Si,No,No,dos years,Si,tarjeta de credito,39.4,825.4,0.06566666666666666
0,Femenino,No,No,Si,43,Si,Si,No,No,No,No,No,No,No,dos years,Si,cheque electronico,25.1,1070.15,0.019457364341085272
0,Femenino,No,Si,No,55,Si,Si,Fibra_optica,Si,No,No,No,Si,No,mes a mes,Si,transferencia,89.8,4959.6,0.054424242424242424
0,Femenino,No,Si,No,59,Si,Si,Fibra_optica,Si,Si,No,No,Si,No,mes a mes,Si,cheque electronico,94.75,5597.65,0.05353107344632768
0,Femenino,No,Si,Si,12,Si,No,No,No,No,No,No,No,No,dos years,No,transferencia,20.3,224.5,0.05638888888888889
0,Masculino,No,Si,Si,27,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,transferencia,75.75,1929.0,0.09351851851851851
1,Masculino,Si,No,No,2,Si,No,DSL,Si,No,No,No,No,No,mes a mes,Si,cheque electronico,49.25,91.1,0.8208333333333333
0,Femenino,No,No,No,27,Si,No,DSL,No,Si,Si,Si,Si,Si,un year,No,cheque por correo,78.2,2078.95,0.09654320987654322
0,Masculino,No,Si,Si,25,Si,Si,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,25.5,630.6,0.034
0,Masculino,No,Si,Si,25,Si,No,DSL,Si,Si,Si,No,No,No,un year,Si,transferencia,61.6,1611.0,0.08213333333333334
0,Masculino,No,No,Si,29,No,sin servicio teleonico,DSL,Si,Si,Si,Si,No,No,mes a mes,Si,cheque por correo,45.0,1242.45,0.05172413793103448
0,Masculino,No,Si,No,72,Si,Si,DSL,No,Si,Si,Si,Si,Si,dos years,Si,transferencia,85.15,6316.2,0.0394212962962963
0,Femenino,No,No,No,14,Si,No,DSL,No,Si,No,No,No,No,un year,No,tarjeta de credito,51.45,727.85,0.12250000000000001
0,Femenino,No,No,No,35,Si,No,Fibra_optica,No,No,Si,Si,Si,Si,un year,Si,cheque electronico,99.25,3532.0,0.09452380952380952
0,Masculino,No,No,No,1,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,cheque por correo,44.3,44.3,1.4766666666666666
0,Masculino,No,No,No,29,Si,No,Fibra_optica,No,No,No,Si,Si,Si,mes a mes,Si,cheque electronico,94.2,2607.6,0.10827586206896551
0,Masculino,No,No,No,64,Si,Si,DSL,Si,Si,Si,Si,Si,No,un year,No,cheque electronico,81.25,5567.55,0.042317708333333336
0,Femenino,No,Si,Si,39,Si,Si,Fibra_optica,No,No,No,Si,Si,Si,mes a mes,Si,tarjeta de credito,99.95,3767.4,0.08542735042735043
0,Femenino,Si,No,No,40,Si,No,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,91.55,3673.6,0.07629166666666666
1,Masculino,No,No,No,40,Si,Si,Fibra_optica,No,Si,Si,No,Si,Si,mes a mes,Si,tarjeta de credito,104.5,4036.85,0.08708333333333333
1,Femenino,Si,No,No,11,Si,No,Fibra_optica,No,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,95.0,1120.3,0.2878787878787879
0,Femenino,No,Si,No,6,Si,Si,DSL,No,No,No,No,No,No,mes a mes,No,cheque electronico,50.35,314.55,0.2797222222222222
0,Masculino,No,No,No,30,Si,Si,DSL,Si,No,No,No,No,Si,mes a mes,Si,cheque por correo,64.5,1888.45,0.07166666666666667
0,Masculino,No,No,No,27,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque electronico,19.4,529.8,0.023950617283950617
0,Masculino,Si,Si,No,70,Si,Si,Fibra_optica,No,Si,Si,No,Si,Si,un year,Si,cheque electronico,104.8,7308.95,0.0499047619047619
0,Femenino,No,Si,No,57,Si,Si,Fibra_optica,No,Si,Si,Si,Si,Si,un year,Si,transferencia,109.4,6252.7,0.0639766081871345
0,Masculino,No,Si,No,58,Si,No,DSL,No,No,Si,No,No,No,un year,No,tarjeta de credito,50.3,2878.55,0.028908045977011493
0,Masculino,No,No,No,16,Si,Si,DSL,No,Si,Si,No,No,Si,mes a mes,Si,transferencia,71.4,1212.1,0.14875000000000002
0,Femenino,No,Si,No,69,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,116.0,8182.85,0.05603864734299517
1,Masculino,No,No,No,1,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque electronico,19.85,19.85,0.6616666666666667
1,Masculino,No,No,Si,1,Si,Si,Fibra_optica,No,No,Si,No,Si,Si,mes a mes,Si,cheque electronico,99.75,99.75,3.325
0,Masculino,Si,Si,Si,32,Si,No,Fibra_optica,No,Si,No,No,Si,Si,mes a mes,Si,cheque por correo,93.95,2861.45,0.09786458333333334
0,Masculino,No,Si,Si,16,Si,Si,Fibra_optica,No,No,Si,No,Si,No,mes a mes,Si,transferencia,90.8,1442.2,0.18916666666666665
1,Masculino,No,Si,No,49,Si,Si,DSL,Si,No,Si,Si,Si,Si,un year,No,cheque electronico,84.35,4059.35,0.05738095238095238
0,Femenino,No,Si,No,71,No,sin servicio teleonico,DSL,No,Si,Si,Si,Si,Si,dos years,No,transferencia,58.25,4145.9,0.027347417840375587
0,Femenino,No,No,No,33,Si,Si,Fibra_optica,No,Si,Si,No,Si,Si,mes a mes,No,cheque electronico,107.55,3645.5,0.10863636363636363
0,Femenino,No,Si,No,10,Si,No,No,No,No,No,No,No,No,mes a mes,Si,transferencia,19.95,187.75,0.0665
1,Masculino,No,Si,No,21,Si,Si,Fibra_optica,No,Si,Si,Si,Si,Si,mes a mes,Si,cheque electronico,111.2,2317.1,0.1765079365079365
1,Masculino,No,Si,Si,37,No,sin servicio teleonico,DSL,Si,Si,Si,No,No,No,mes a mes,No,transferencia,40.2,1448.8,0.03621621621621622
0,Femenino,Si,No,No,26,Si,No,Fibra_optica,Si,No,No,No,Si,No,mes a mes,Si,tarjeta de credito,85.8,2193.65,0.11
0,Masculino,No,No,No,50,No,sin servicio teleonico,DSL,Si,No,No,Si,No,No,un year,Si,cheque por correo,35.4,1748.9,0.0236
1,Femenino,No,No,No,7,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,73.85,511.25,0.3516666666666666
0,Femenino,No,Si,Si,61,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,No,cheque por correo,88.1,5526.75,0.04814207650273224
1,Masculino,No,No,No,15,Si,No,Fibra_optica,No,No,Si,Si,Si,Si,mes a mes,Si,cheque electronico,101.35,1553.95,0.2252222222222222
0,Femenino,No,No,Si,26,No,sin servicio teleonico,DSL,Si,No,No,Si,No,Si,mes a mes,No,cheque por correo,45.8,1147.0,0.05871794871794871
0,Masculino,No,Si,No,72,Si,No,Fibra_optica,No,No,Si,No,Si,Si,mes a mes,Si,cheque electronico,94.65,6747.35,0.043819444444444446
0,Masculino,No,Si,Si,44,Si,No,No,No,No,No,No,No,No,un year,Si,transferencia,20.5,865.05,0.01553030303030303
0,Masculino,No,No,No,66,Si,Si,Fibra_optica,No,Si,No,No,No,Si,mes a mes,No,tarjeta de credito,89.4,5976.9,0.04515151515151516
1,Femenino,No,No,No,2,Si,No,Fibra_optica,Si,Si,No,Si,No,No,mes a mes,Si,cheque electronico,86.25,181.65,1.4375
0,Femenino,Si,No,No,44,Si,No,DSL,No,No,Si,Si,Si,Si,un year,No,transferencia,74.85,3268.05,0.05670454545454545
1,Femenino,No,No,No,12,Si,Si,Fibra_optica,No,Si,No,No,Si,No,mes a mes,Si,transferencia,89.75,1052.4,0.24930555555555556
0,Masculino,Si,Si,No,69,Si,Si,Fibra_optica,No,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,109.95,7634.25,0.05311594202898551
1,Femenino,No,No,No,1,Si,Si,Fibra_optica,No,Si,No,No,No,No,mes a mes,Si,cheque por correo,80.2,80.2,2.6733333333333333
1,Femenino,No,No,No,3,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.85,63.75,0.22055555555555556
0,Femenino,No,Si,No,2,Si,No,Fibra_optica,Si,Si,No,No,Si,No,mes a mes,No,cheque electronico,90.35,190.5,1.5058333333333331
0,Femenino,Si,No,No,27,Si,Si,Fibra_optica,No,Si,Si,No,No,No,mes a mes,Si,transferencia,86.45,2401.05,0.1067283950617284
0,Masculino,No,No,No,26,Si,No,No,No,No,No,No,No,No,mes a mes,Si,cheque electronico,20.3,511.25,0.026025641025641026
0,Femenino,Si,Si,No,39,Si,Si,Fibra_optica,No,No,No,Si,Si,Si,mes a mes,Si,cheque electronico,101.25,3949.15,0.08653846153846154
1,Masculino,No,No,No,25,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,transferencia,94.7,2362.1,0.12626666666666667
1,Femenino,No,No,No,1,Si,No,Fibra_optica,No,No,No,No,No,No,mes a mes,No,cheque por correo,70.9,70.9,2.3633333333333337
1,Masculino,No,Si,No,22,Si,No,DSL,Si,No,No,Si,No,No,mes a mes,Si,cheque electronico,54.2,1152.7,0.08212121212121212
0,Femenino,No,No,No,72,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,114.9,8496.7,0.05319444444444445
0,Femenino,No,No,No,24,Si,No,No,No,No,No,No,No,No,dos years,Si,transferencia,19.55,470.2,0.02715277777777778
0,Femenino,No,Si,No,19,Si,Si,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,86.85,1564.4,0.15236842105263157
0,Masculino,No,Si,Si,71,Si,Si,No,No,No,No,No,No,No,dos years,No,tarjeta de credito,25.35,1847.55,0.011901408450704226
0,Masculino,Si,Si,No,33,Si,Si,Fibra_optica,Si,No,Si,Si,Si,Si,mes a mes,Si,transferencia,109.9,3694.7,0.11101010101010102
0,Femenino,No,No,No,3,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.95,58.0,0.22166666666666665
0,Masculino,No,Si,Si,47,Si,Si,Fibra_optica,No,Si,No,No,Si,No,mes a mes,No,cheque electronico,87.2,4017.45,0.061843971631205676
0,Masculino,No,Si,Si,62,Si,No,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,No,cheque por correo,108.15,6825.65,0.058145161290322586
0,Masculino,No,No,No,71,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,un year,Si,transferencia,116.3,8309.55,0.05460093896713615
0,Masculino,Si,Si,No,7,Si,No,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,89.0,605.45,0.4238095238095238
0,Femenino,No,Si,Si,27,Si,No,Fibra_optica,Si,No,No,No,No,No,mes a mes,No,cheque por correo,74.4,1972.35,0.09185185185185187
0,Masculino,No,No,No,2,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,20.05,33.7,0.33416666666666667
0,Femenino,No,No,Si,25,No,sin servicio teleonico,DSL,Si,No,No,Si,No,No,dos years,No,transferencia,35.05,844.45,0.04673333333333333
0,Masculino,Si,No,No,30,Si,No,DSL,Si,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,74.75,2111.3,0.08305555555555555
1,Femenino,Si,Si,No,58,Si,No,Fibra_optica,Si,Si,No,Si,Si,Si,un year,Si,tarjeta de credito,105.5,6205.5,0.06063218390804598
1,Masculino,No,Si,No,10,Si,Si,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,85.25,855.3,0.2841666666666667
0,Femenino,No,No,No,9,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,tarjeta de credito,75.2,633.85,0.27851851851851855
1,Femenino,Si,Si,No,6,Si,Si,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,84.35,474.9,0.4686111111111111
0,Femenino,No,Si,Si,69,Si,Si,Fibra_optica,Si,No,Si,No,No,No,un year,No,transferencia,84.45,5848.6,0.04079710144927536
0,Femenino,Si,No,No,66,Si,Si,Fibra_optica,Si,No,No,No,Si,Si,dos years,Si,transferencia,102.4,6471.85,0.05171717171717172
1,Femenino,No,No,No,70,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,un year,No,tarjeta de credito,115.55,8127.6,0.05502380952380952
1,Masculino,No,No,No,25,Si,Si,No,No,No,No,No,No,No,un year,No,transferencia,25.3,676.35,0.03373333333333334
0,Femenino,No,Si,Si,46,Si,No,No,No,No,No,No,No,No,dos years,Si,cheque por correo,19.25,864.2,0.01394927536231884
0,Femenino,No,Si,No,54,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,un year,Si,cheque por correo,114.65,6049.5,0.07077160493827162
1,Femenino,No,No,No,15,Si,No,Fibra_optica,Si,No,Si,Si,Si,Si,mes a mes,No,cheque electronico,105.1,1582.75,0.23355555555555554
0,Femenino,No,Si,Si,12,Si,No,No,No,No,No,No,No,No,mes a mes,No,transferencia,19.4,198.1,0.05388888888888888
0,Femenino,No,No,No,22,No,sin servicio teleonico,DSL,No,Si,No,No,Si,Si,mes a mes,Si,cheque electronico,50.35,1098.85,0.0762878787878788
0,Femenino,No,Si,No,70,No,sin servicio teleonico,DSL,No,Si,Si,Si,Si,Si,dos years,No,transferencia,57.8,4039.3,0.027523809523809523
0,Masculino,No,No,No,30,Si,No,Fibra_optica,Si,Si,Si,No,No,No,mes a mes,Si,tarjeta de credito,84.3,2438.6,0.09366666666666666
0,Masculino,No,Si,Si,71,Si,Si,Fibra_optica,No,Si,No,No,Si,Si,un year,No,transferencia,100.55,7113.75,0.04720657276995305
0,Masculino,No,Si,No,30,Si,No,No,No,No,No,No,No,No,un year,No,tarjeta de credito,19.8,576.65,0.022000000000000002
1,Masculino,No,Si,Si,4,Si,Si,Fibra_optica,No,Si,Si,No,No,No,mes a mes,Si,transferencia,84.8,371.9,0.7066666666666667
1,Masculino,No,No,No,2,Si,No,Fibra_optica,No,No,Si,No,No,Si,mes a mes,Si,cheque electronico,85.85,167.3,1.4308333333333332
0,Masculino,No,No,Si,10,Si,No,No,No,No,No,No,No,No,un year,Si,transferencia,19.95,219.5,0.0665
0,Masculino,Si,No,No,4,Si,No,Fibra_optica,Si,No,No,No,No,No,mes a mes,No,cheque electronico,75.35,273.4,0.6279166666666666
0,Masculino,Si,No,No,52,No,sin servicio teleonico,DSL,Si,No,No,No,Si,Si,mes a mes,Si,tarjeta de credito,48.8,2555.05,0.03128205128205128
1,Masculino,No,No,No,5,Si,Si,DSL,No,No,No,No,No,No,mes a mes,No,cheque electronico,47.15,223.15,0.3143333333333333
0,Masculino,No,Si,Si,8,Si,No,No,No,No,No,No,No,No,dos years,No,cheque por correo,20.15,165.5,0.08395833333333333
0,Femenino,Si,No,No,2,Si,No,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,44.3,89.3,0.7383333333333333
0,Masculino,No,No,No,3,Si,No,Fibra_optica,No,Si,No,No,No,Si,mes a mes,No,cheque electronico,84.3,235.05,0.9366666666666666
0,Masculino,No,No,No,19,Si,Si,DSL,No,No,Si,Si,No,No,mes a mes,No,cheque electronico,59.55,1144.6,0.10447368421052632
0,Masculino,No,No,No,72,Si,Si,DSL,Si,Si,Si,Si,No,No,dos years,No,transferencia,69.65,4908.25,0.032245370370370376
0,Masculino,Si,Si,No,63,No,sin servicio teleonico,DSL,Si,No,No,Si,No,No,un year,No,transferencia,36.1,2298.9,0.0191005291005291
0,Masculino,No,Si,No,66,No,sin servicio teleonico,DSL,Si,Si,Si,Si,Si,No,dos years,Si,transferencia,56.6,3789.2,0.028585858585858586
1,Masculino,No,No,No,1,Si,No,Fibra_optica,No,No,No,Si,No,No,mes a mes,Si,cheque electronico,75.9,75.9,2.5300000000000002
0,Femenino,No,No,No,60,Si,Si,Fibra_optica,No,No,Si,No,No,No,un year,Si,transferencia,79.2,4765.0,0.044000000000000004
0,Femenino,No,Si,Si,48,No,sin servicio teleonico,DSL,Si,No,Si,No,No,Si,un year,No,tarjeta de credito,45.0,2196.3,0.03125
1,Femenino,No,No,No,1,Si,No,Fibra_optica,No,No,Si,No,Si,No,mes a mes,Si,tarjeta de credito,85.55,85.55,2.8516666666666666
1,Masculino,No,No,No,15,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,93.35,1444.65,0.20744444444444443
0,Femenino,No,Si,No,50,Si,Si,Fibra_optica,Si,Si,No,Si,Si,Si,mes a mes,Si,transferencia,109.65,5405.8,0.0731
0,Masculino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,No,tarjeta de credito,89.7,6339.3,0.04152777777777778
0,Femenino,No,No,No,46,Si,Si,Fibra_optica,Si,Si,No,No,No,No,mes a mes,No,cheque por correo,84.25,3847.6,0.06105072463768116
0,Femenino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,Si,Si,dos years,No,transferencia,92.65,6733.0,0.04289351851851852
0,Masculino,No,Si,Si,1,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,19.7,19.7,0.6566666666666666
0,Femenino,No,No,No,1,Si,Si,DSL,No,No,No,No,No,No,mes a mes,Si,cheque electronico,50.1,50.1,1.6700000000000002
0,Femenino,Si,No,No,67,Si,No,Fibra_optica,Si,Si,No,Si,Si,No,dos years,Si,transferencia,92.45,6140.85,0.04599502487562189
0,Femenino,No,Si,Si,48,Si,Si,DSL,No,Si,No,Si,Si,Si,dos years,No,cheque electronico,79.65,3870.3,0.0553125
0,Femenino,No,No,No,72,Si,No,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,cheque electronico,109.9,7624.2,0.05087962962962963
0,Masculino,No,Si,No,52,Si,Si,DSL,Si,Si,Si,Si,No,Si,un year,Si,tarjeta de credito,81.4,4354.45,0.052179487179487186
0,Femenino,No,Si,Si,67,Si,No,DSL,No,Si,No,No,No,No,un year,No,tarjeta de credito,50.55,3431.75,0.02514925373134328
1,Femenino,No,Si,Si,28,Si,No,Fibra_optica,No,No,No,No,No,Si,mes a mes,Si,cheque electronico,81.05,2227.1,0.09648809523809523
0,Femenino,No,Si,Si,32,Si,Si,DSL,No,Si,Si,No,No,No,mes a mes,No,transferencia,62.45,2045.55,0.06505208333333333
1,Femenino,Si,Si,No,27,Si,No,Fibra_optica,Si,No,No,No,No,No,mes a mes,Si,transferencia,75.2,1929.35,0.09283950617283951
0,Masculino,No,No,No,3,Si,No,Fibra_optica,No,Si,Si,No,No,Si,mes a mes,No,cheque electronico,90.4,268.45,1.0044444444444445
1,Masculino,No,No,No,2,Si,Si,Fibra_optica,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,85.65,181.5,1.4275
1,Femenino,No,No,Si,9,Si,No,DSL,No,No,Si,Si,Si,Si,mes a mes,Si,cheque por correo,72.9,651.4,0.27
0,Masculino,No,Si,Si,50,Si,Si,DSL,Si,No,No,Si,Si,No,dos years,Si,tarjeta de credito,70.5,3486.65,0.047
0,Femenino,No,Si,Si,71,Si,No,No,No,No,No,No,No,No,dos years,No,transferencia,20.1,1389.6,0.00943661971830986
1,Masculino,Si,Si,No,32,Si,Si,Fibra_optica,No,No,No,No,No,No,mes a mes,Si,cheque electronico,74.9,2303.35,0.07802083333333334
0,Femenino,No,Si,Si,16,Si,No,Fibra_optica,Si,No,Si,No,Si,Si,mes a mes,No,transferencia,100.7,1522.7,0.20979166666666668
0,Femenino,No,Si,Si,67,Si,Si,Fibra_optica,No,No,Si,Si,Si,Si,dos years,Si,transferencia,105.65,6717.9,0.05256218905472637
0,Masculino,No,Si,Si,72,Si,Si,Fibra_optica,Si,Si,Si,Si,Si,Si,dos years,Si,tarjeta de credito,114.3,8058.55,0.05291666666666667
1,Femenino,No,No,No,3,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque electronico,19.75,58.85,0.21944444444444444
0,Masculino,No,Si,Si,23,Si,Si,No,No,No,No,No,No,No,un year,No,cheque por correo,24.35,538.5,0.03528985507246377
0,Masculino,No,Si,Si,72,Si,Si,DSL,Si,Si,Si,Si,No,No,dos years,No,transferencia,69.85,5102.35,0.03233796296296296
0,Masculino,No,Si,Si,7,No,sin servicio teleonico,DSL,Si,Si,Si,No,Si,Si,mes a mes,No,cheque por correo,58.85,465.7,0.28023809523809523
0,Masculino,No,Si,Si,8,Si,No,DSL,No,No,No,No,Si,No,mes a mes,Si,cheque electronico,54.4,475.1,0.22666666666666666
0,Masculino,No,Si,Si,66,No,sin servicio teleonico,DSL,No,No,No,Si,Si,Si,dos years,No,transferencia,50.55,3364.55,0.025530303030303028
1,Masculino,No,No,No,5,Si,No,No,No,No,No,No,No,No,mes a mes,No,cheque por correo,21.05,113.85,0.14033333333333334
1,Masculino,No,No,No,49,Si,Si,Fibra_optica,No,Si,Si,No,Si,Si,mes a mes,Si,transferencia,103.7,5036.3,0.07054421768707483
0,Masculino,No,Si,No,63,Si,No,No,No,No,No,No,No,No,dos years,Si,transferencia,19.95,1234.8,0.010555555555555556
0,Femenino,Si,Si,Si,12,No,sin servicio teleonico,DSL,No,No,No,Si,No,No,mes a mes,Si,cheque por correo,29.3,355.9,0.08138888888888889
0,Masculino,No,Si,Si,27,Si,No,DSL,Si,Si,No,No,No,No,mes a mes,Si,tarjeta de credito,54.75,1510.3,0.06759259259259259
0,Femenino,No,No,No,35,Si,No,DSL,Si,Si,Si,No,No,No,mes a mes,No,cheque electronico,60.55,1982.6,0.057666666666666665
0,Femenino,No,Si,Si,54,Si,Si,DSL,No,Si,Si,Si,Si,Si,mes a mes,Si,cheque electronico,86.2,4524.05,0.053209876543209876
1,Masculino,No,No,No,1,Si,Si,Fibra_optica,No,No,No,No,Si,Si,mes a mes,Si,cheque electronico,95.45,95.45,3.1816666666666666
0,Masculino,No,No,No,5,Si,No,DSL,No,No,Si,Si,Si,No,mes a mes,Si,tarjeta de credito,63.95,318.1,0.42633333333333334
0,Masculino,No,No,No,19,Si,No,DSL,No,Si,No,Si,No,Si,un year,Si,transferencia,65.35,1231.85,0.11464912280701753
0,Masculino,No,Si,Si,52,No,sin servicio teleonico,DSL,No,Si,Si,Si,Si,No,dos years,No,cheque por correo,50.2,2554.0,0.03217948717948718
0,Femenino,No,Si,Si,72,No,sin servicio teleonico,DSL,Si,Si,Si,Si,Si,Si,dos years,Si,transferencia,63.8,4684.3,0.029537037037037035
